Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
3.18,3.3,2.91,3.28,1281900,0.9990251064300536,56,28,2.2433333333333336,0.0334820273651147,1.090667
3.29,3.29,3.09,3.21,602500,0.9990251064300536,56,28,2.2566666666666664,0.0321563534599615,1.091048
3.23,3.33,3.05,3.28,1003000,0.9990251064300536,56,28,2.2566666666666664,0.032886296660353,1.095722
3.64,3.68,3.21,3.44,2345600,0.9990251064300536,56,28,2.31,0.0409829352051269,1.091584
3.44,3.54,3.21,3.4,1034000,0.9990251064300536,56,28,2.373333333333333,0.0342545046582309,1.086803
3.39,3.44,3.2,3.24,506500,0.9990251064300536,56,28,2.36,0.0476423135724768,1.09075
3.22,3.22,2.94,3.19,1485200,0.9990251064300536,56,28,2.276666666666667,0.0326198504440443,1.09131
3.09,3.16,2.96,3.07,822900,0.9990251064300536,56,28,2.1666666666666665,0.0411459804852379,1.088495
3.05,3.25,3.045,3.21,631200,0.9990251064300536,56,28,2.1566666666666663,0.0381631167596304,1.085658
3.21,3.44,3.15,3.26,716300,0.9990251064300536,56,28,2.18,0.0330704746556579,1.089064
3.27,3.44,3.23,3.4,699200,0.9990251064300536,56,28,2.29,0.036484052760906,1.096972
3.45,3.645,3.42,3.63,843900,0.9990251064300536,56,28,2.43,0.040075906267493,1.100594
3.64,3.77,3.48,3.55,520700,0.9990251064300536,56,28,2.526666666666667,0.0379524640031029,1.101406
3.54,3.66,3.43,3.5,296900,0.9990251064300536,56,28,2.56,0.0325918612262762,1.114455
3.49,3.725,3.45,3.62,463600,0.9990251064300536,56,28,2.556666666666666,0.0303625824707292,1.122347
3.7,3.79,3.51,3.54,591800,0.9990251064300536,56,28,2.553333333333333,0.0317520954908651,1.122776
3.61,3.74,3.25,3.4,1001800,0.9990251064300536,56,28,2.52,0.0309142027978134,1.12376
3.39,3.48,3.26,3.31,663900,0.9990251064300536,56,28,2.4166666666666665,0.0329043206404305,1.122889
3.38,3.575,3.25,3.56,534900,0.9990251064300536,56,28,2.4233333333333333,0.0259687982381038,1.120523
3.58,3.58,3.42,3.45,359500,0.9990251064300536,56,28,2.44,0.036751229334082,1.11371
3.45,3.457,3.25,3.25,524500,0.9990251064300536,56,28,2.42,0.0335632365163624,1.112533
3.21,3.26,3.085,3.12,399500,0.9990251064300536,56,28,2.273333333333333,0.0326237284592804,1.106317
3.16,3.16,2.85,2.87,773700,0.9990251064300536,56,28,2.08,0.031105172318726,1.105046
2.95,3.025,2.92,3.0,532200,0.9990251064300536,56,28,1.9966666666666664,0.0400139193739858,1.107837
3.05,3.3,3.0,3.29,575200,0.9990251064300536,56,28,2.053333333333333,0.0369835369955717,1.097876
3.29,3.34,3.105,3.2,624900,0.9990251064300536,56,28,2.1633333333333336,0.0328166154863997,1.102426
3.15,3.163,2.9,3.02,410000,0.9990251064300536,56,28,2.1700000000000004,0.0529947465118747,1.099759
2.98,3.07,2.86,2.98,635700,0.9990251064300536,56,28,2.0666666666666664,0.0299404367709136,1.100788
3.0,3.2,2.99,3.11,380800,0.9990251064300536,56,28,2.036666666666666,0.0314726982760116,1.094415
3.09,3.11,2.92,2.95,417100,0.9990251064300536,56,28,2.013333333333333,0.0306877694556012,1.095158
