Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
5.62,5.69,5.41,5.57,1890000,0.7948577404022217,56,21,4.5,0.0672271970763041,1.069862
5.56,5.95,5.5,5.88,1921500,0.7948577404022217,56,21,4.686666666666667,0.0648688808914368,1.07118
5.89,6.0,5.73,5.84,1400300,0.7948577404022217,56,21,4.763333333333333,0.0842618600206404,1.069805
5.83,5.87,5.64,5.8,1448400,0.7948577404022217,56,21,4.84,0.0815973733914301,1.070744
5.8,5.85,5.6,5.64,724100,0.7948577404022217,56,21,4.760000000000001,0.0657745878564324,1.078272
5.69,5.99,5.61,5.74,1631800,0.7948577404022217,56,21,4.726666666666667,0.0859895834129533,1.075095
5.8,5.97,5.6,5.7,1852300,0.7948577404022217,56,21,4.6933333333333325,0.085275029974173,1.076299
5.55,5.62,4.75,4.99,8205800,0.7948577404022217,56,21,4.476666666666667,0.0795584133251926,1.078935
4.95,5.04,4.79,4.97,2671700,0.7948577404022217,56,21,4.22,0.0721873243742554,1.084305
4.99,5.03,4.76,4.85,4827700,0.7948577404022217,56,21,3.9366666666666665,0.0679005145802774,1.094595
4.79,4.88,4.56,4.81,2224000,0.7948577404022217,56,21,3.876666666666666,0.0786727755902084,1.094212
4.74,4.76,4.49,4.71,1918200,0.7948577404022217,56,21,3.79,0.077230957806325,1.09243
4.68,4.74,4.55,4.7,1608800,0.7948577404022217,56,21,3.7399999999999993,0.0880790229335266,1.092037
4.62,4.77,4.3,4.75,26803400,0.7948577404022217,56,21,3.72,0.0741071276828262,1.099264
4.89,5.04,4.67,4.73,3010800,0.7948577404022217,56,21,3.7266666666666666,0.0819881581770206,1.09589
4.76,4.77,4.55,4.59,3428900,0.7948577404022217,56,21,3.69,0.0852092674280928,1.090667
4.55,4.72,4.43,4.63,5172800,0.7948577404022217,56,21,3.65,0.0765158751311928,1.091048
4.62,4.66,4.49,4.58,4512500,0.7948577404022217,56,21,3.6,0.0768608682326653,1.095722
4.65,5.1,4.59,4.97,4690000,0.7948577404022217,56,21,3.7266666666666666,0.0795933212854986,1.091584
4.94,5.1,4.88,4.96,901700,0.7948577404022217,56,21,3.836666666666667,0.0807549330048103,1.086803
4.97,5.18,4.9,4.98,1483700,0.7948577404022217,56,21,3.97,0.0675235758565103,1.09075
4.92,5.07,4.83,5.02,1102400,0.7948577404022217,56,21,3.9866666666666672,0.0733830222279131,1.09131
5.02,5.43,4.99,5.42,3091400,0.7948577404022217,56,21,4.14,0.0691882237953061,1.088495
5.41,5.99,5.38,5.96,3582000,0.7948577404022217,56,21,4.466666666666666,0.0757137446374268,1.085658
5.96,6.05,5.7,5.79,2149200,0.7948577404022217,56,21,4.723333333333334,0.0785291702798083,1.089064
5.89,5.9,5.67,5.8,1500900,0.7948577404022217,56,21,4.8500000000000005,0.0817018725179538,1.096972
5.87,5.87,5.19,5.22,2671200,0.7948577404022217,56,21,4.603333333333333,0.0824303636530895,1.100594
5.28,5.28,4.9,4.96,2367200,0.7948577404022217,56,21,4.326666666666667,0.0797508653855015,1.101406
5.0,5.32,4.89,5.29,1893600,0.7948577404022217,56,21,4.156666666666666,0.0578359633273723,1.114455
5.29,5.56,5.28,5.32,1331500,0.7948577404022217,56,21,4.19,0.0700250144912877,1.122347
