Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
7.35,7.54,7.35,7.42,27500,0.9939058423042296,56,28,6.489999999999999,0.0968640524218102,1.069862
7.43,7.49,7.34,7.44,29300,0.9939058423042296,56,28,6.453333333333333,0.0930288561464265,1.07118
7.38,7.45,7.37,7.37,51700,0.9939058423042296,56,28,6.41,0.0951405937558803,1.069805
7.34,7.43,7.3,7.31,22200,0.9939058423042296,56,28,6.373333333333334,0.1185643014032422,1.070744
7.3,7.4,7.29,7.32,34000,0.9939058423042296,56,28,6.333333333333333,0.0990988418567244,1.078272
7.3,7.39,7.2,7.35,46900,0.9939058423042296,56,28,6.326666666666665,0.1378299918656943,1.075095
7.31,7.39,7.21,7.21,28200,0.9939058423042296,56,28,6.293333333333333,0.094369760497109,1.076299
7.22,7.42,7.22,7.25,5500,0.9939058423042296,56,28,6.27,0.1190359940635337,1.078935
7.3,7.35,7.12,7.35,32000,0.9939058423042296,56,28,6.27,0.1104065205512636,1.084305
7.25,7.41,7.18,7.31,20800,0.9939058423042296,56,28,6.303333333333332,0.095673423706636,1.094595
7.3,7.31,7.17,7.17,21600,0.9939058423042296,56,28,6.276666666666666,0.1055489609591144,1.094212
7.18,7.31,6.94,7.0,53700,0.9939058423042296,56,28,6.16,0.1159402518615288,1.09243
6.99,7.03,6.51,6.62,96300,0.9939058423042296,56,28,5.93,0.1097970986835683,1.092037
6.53,6.64,6.22,6.61,63200,0.9939058423042296,56,28,5.743333333333333,0.0942887872326298,1.099264
6.6,6.6,6.31,6.33,32500,0.9939058423042296,56,28,5.5200000000000005,0.0878394473558837,1.09589
6.33,6.71,6.12,6.5,79400,0.9939058423042296,56,28,5.48,0.0918593312343452,1.090667
6.52,6.68,6.5,6.61,24700,0.9939058423042296,56,28,5.48,0.089435293978221,1.091048
6.65,6.75,6.57,6.6,12700,0.9939058423042296,56,28,5.57,0.0951927374248413,1.095722
6.66,6.74,6.55,6.58,26200,0.9939058423042296,56,28,5.596666666666667,0.0751281577557031,1.091584
6.56,6.72,6.56,6.64,3000,0.9939058423042296,56,28,5.6066666666666665,0.1063219071522402,1.086803
6.64,6.64,6.5,6.51,27500,0.9939058423042296,56,28,5.576666666666665,0.0970989918237113,1.09075
6.55,6.55,6.35,6.45,17400,0.9939058423042296,56,28,5.533333333333334,0.094380979658572,1.09131
6.41,6.44,6.39,6.44,6600,0.9939058423042296,56,28,5.466666666666666,0.0899877719235655,1.088495
6.43,6.75,6.43,6.59,26600,0.9939058423042296,56,28,5.493333333333333,0.1157609227654538,1.085658
6.54,6.64,6.51,6.55,13700,0.9939058423042296,56,28,5.526666666666667,0.1069939770139349,1.089064
6.59,6.68,6.41,6.67,48500,0.9939058423042296,56,28,5.603333333333333,0.0949390049807137,1.096972
6.65,6.89,6.57,6.75,60200,0.9939058423042296,56,28,5.656666666666666,0.1533146678434177,1.100594
6.88,7.5,6.88,7.44,125800,0.9939058423042296,56,28,5.953333333333333,0.0866181729464619,1.101406
7.5,7.69,7.42,7.64,72200,0.9939058423042296,56,28,6.276666666666667,0.0910510305251034,1.114455
7.45,7.6,7.36,7.44,34500,0.9939058423042296,56,28,6.506666666666668,0.0887802186182104,1.122347
